no,uclu,baslik,turkce_aciklama
39,"TR,DF_BD_SEKTOREL_DOGUM_OLUM,1.1",Birth and Death Indicators by Sectors,Sektörlere göre ve sektör içinde yıl bazında doğan ve ölen girişim sayısı ve istihdam göstergeleridir.
40,"TR,DF_DOGUM_ANNEYASGR_C,1.0",Births by Age Group of Mother,Yıllar itibarıyla annenin yaş grubuna göre canlı doğum sayısıdır.
41,"TR,DF_DOGUM_BABA_UYRUK_C,1.0",Births by Citizenship of Father,Yıllar itibarıyla babanın uyruğuna göre doğum sayısıdır.
42,"TR,DF_DOGUM_ANNE_UYRUK_C,1.0",Births by Citizenship of Mother,Yıllar itibarıyla annenin uyruğuna göre doğum sayısıdır.
43,"TR,DF_DOGUM_ANNE_YAS_DOGUM_SIRA_C,1.0",Births by Mother's Age Group and Birth Order,Yıllar itibarıyla annenin yaş grubu ve doğum sırasına göre doğum sayısıdır.
44,"TR,DF_DOGUM_ANNEYAS_ULKE_C,1.0",Births by Mother's Age Group and Country of Birth,Yıllar itibarıyla annenin yaş grubu ve doğduğu ülkeye göre doğum sayısıdır.
45,"TR,DF_DOGUM_BABAYASGR_C,1.0",Births by Province and Age Group of Father,Yıllar itibarıyla il ve babanın yaş grubuna göre doğum sayısıdır.
46,"TR,DF_DOGUM_IL_ILCE_C,1.0",Births by Province and District,Yıllar itibarıyla il ve ilçe doğum sayısıdır.
47,"TR,DF_DOGUM_ANNEMEDENI_C,1.0",Births by Province and Legal Marital Status of Mother,Yıllar itibarıyla il ve annenin yasal medeni durumuna göre doğum sayısıdır.
48,"TR,DF_DOGUM_IL_AY_C,1.0",Births by Province and Months,Yıllar itibarıyla il ve aya göre doğum sayısıdır.
49,"TR,DF_DOGUM_ANNEYASGR_IL_C,1.0",Births by Provinces and Age Group of Mother and Regions,Yıllar itibarıyla illere ve annenin yaş grubuna göre canlı doğum sayısıdır.
50,"TR,DF_DOGUM_EVLSURE_C,1.0",Births by Provinces and Mother's Duration of Marriage,Yıllar itibarıyla il ve annenin evlilik süresine göre doğum sayısıdır.
51,"TR,DF_ANNEYASGR_EGT_C,1.0",Births by mother's Age Group and Mother's Educational Level,Yıllar itibarıyla annenin yaş grubu ve eğitim durumuna göre doğum sayısıdır.
52,"TR,DF_YO_OGRENIM_DIL,1.0",Brain drain rate by language of higher education instruction,Yükseköğretim öğrenim diline göre beyin göçü oranını içerir.
53,"TR,DF_UNIVERSITE_TUR_BURS_DURUM,1.0",Brain drain rate by university type and scholarship status,Üniversite türü ve burs durumuna göre beyin göçü oranını içerir.
54,"TR,DF_EGITIM_OGRETIM_ALAN,1.0",Brain drain rate of higher education graduates by fields of education and training,Eğitim ve öğretim alanlarına göre yükseköğretim mezunlarının beyin göçü oranını içerir.
55,"TR,DF_TAMAMLANAN_BOLUM_BGO,1.0",Brain drain rate of higher education graduates by programme,Tamamladıkları bölüme göre yükseköğretim mezunlarının beyin göçü oranını içerir.
